Name	Description	Size (#Pairs)	Performance	Download link	Source
stackexchange_title_body_small	(Title,  Body) pairs from different StackExchanges	364,001	59.83	https://public.ukp.informatik.tu-darmstadt.de/reimers/sentence-transformers/datasets/paraphrases/stackexchange_title_body_small.jsonl.gz	
gooaq_pairs	(Question, Answer)-Pairs from Google auto suggest	3,012,496	59.06	https://public.ukp.informatik.tu-darmstadt.de/reimers/sentence-transformers/datasets/paraphrases/gooaq_pairs.jsonl.gz	https://github.com/allenai/gooaq
msmarco-query_passage_negative	(Query, Answer_Passage, hard_negative) from MS MARCO dataset	9,144,553	58.76	https://public.ukp.informatik.tu-darmstadt.de/reimers/sentence-transformers/datasets/paraphrases/msmarco-query_passage_negative.jsonl.gz	https://microsoft.github.io/msmarco/
yahoo_answers_title_answer	(Title, Answer) pairs from Yahoo Answers	1,198,260	58.65	https://public.ukp.informatik.tu-darmstadt.de/reimers/sentence-transformers/datasets/paraphrases/yahoo_answers_title_answer.jsonl.gz	https://www.kaggle.com/soumikrakshit/yahoo-answers-dataset
stackexchange_duplicate_questions_title_title	(Title, Title) pairs of duplicate questions from StackExchange	304,525	58.47	https://public.ukp.informatik.tu-darmstadt.de/reimers/sentence-transformers/datasets/paraphrases/stackexchange_duplicate_questions_title_title.jsonl.gz	
msmarco-query_passage	(Query, Answer_Passage) from MS MARCO dataset	532,751	58.28	https://public.ukp.informatik.tu-darmstadt.de/reimers/sentence-transformers/datasets/paraphrases/msmarco-query_passage.jsonl.gz	https://microsoft.github.io/msmarco/
eli5_question_answer	(Question, Answer)-Pairs from ELI5 dataset	325,475	58.24	https://public.ukp.informatik.tu-darmstadt.de/reimers/sentence-transformers/datasets/paraphrases/eli5_question_answer.jsonl.gz	https://huggingface.co/datasets/eli5
yahoo_answers_title_question	(Title, Question_Body) pairs from Yahoo Answers	659,896	58.05	https://public.ukp.informatik.tu-darmstadt.de/reimers/sentence-transformers/datasets/paraphrases/yahoo_answers_title_question.jsonl.gz	https://www.kaggle.com/soumikrakshit/yahoo-answers-dataset
squad_pairs	(Question, Answer_Passage) Pairs from SQuAD dataset	87,599	58.02	https://public.ukp.informatik.tu-darmstadt.de/reimers/sentence-transformers/datasets/paraphrases/squad_pairs.jsonl.gz	https://rajpurkar.github.io/SQuAD-explorer/
yahoo_answers_question_answer	(Question_Body, Answer) pairs from Yahoo Answers	681,164	57.74	https://public.ukp.informatik.tu-darmstadt.de/reimers/sentence-transformers/datasets/paraphrases/yahoo_answers_question_answer.jsonl.gz	https://www.kaggle.com/soumikrakshit/yahoo-answers-dataset
NQ-train_pairs	Training pairs (query, answer_passage) from the NQ dataset	100,231	57.48	https://public.ukp.informatik.tu-darmstadt.de/reimers/sentence-transformers/datasets/paraphrases/NQ-train_pairs.jsonl.gz	https://ai.google.com/research/NaturalQuestions/
quora_duplicates	Duplicate question pairs from Quora	103,663	57.36	https://public.ukp.informatik.tu-darmstadt.de/reimers/sentence-transformers/datasets/paraphrases/quora_duplicates.jsonl.gz	https://quoradata.quora.com/First-Quora-Dataset-Release-Question-Pairs
WikiAnswers_pairs	Duplicate questions pairs from WikiAnswers	77,427,422	57.34	https://public.ukp.informatik.tu-darmstadt.de/reimers/sentence-transformers/datasets/paraphrases/WikiAnswers_pairs.jsonl.gz	https://github.com/afader/oqa#wikianswers-corpus
stackexchange_duplicate_questions_title-body_title-body	(Title+Body, Title+Body) pairs of duplicate questions from StackExchange	250,460	57.3	https://public.ukp.informatik.tu-darmstadt.de/reimers/sentence-transformers/datasets/paraphrases/stackexchange_duplicate_questions_title-body_title-body.jsonl.gz	
S2ORC_citation_pairs	Citation Pairs (Title, Title) of scientific publications from the S2OR corpus	52,603,982	57.28	https://public.ukp.informatik.tu-darmstadt.de/reimers/sentence-transformers/datasets/paraphrases/S2ORC_citation_pairs.jsonl.gz	http://s2-public-api-prod.us-west-2.elasticbeanstalk.com/corpus/
stackexchange_duplicate_questions_body_body	(Body, Body) pairs of duplicate questions from StackExchange	250,519	57.26	https://public.ukp.informatik.tu-darmstadt.de/reimers/sentence-transformers/datasets/paraphrases/stackexchange_duplicate_questions_body_body.jsonl.gz	
quora_duplicates_triplets	Triplets (question, duplicate_question, hard_negative) from Quora	103,663	56.97	https://public.ukp.informatik.tu-darmstadt.de/reimers/sentence-transformers/datasets/paraphrases/quora_duplicates_triplets.jsonl.gz	https://quoradata.quora.com/First-Quora-Dataset-Release-Question-Pairs
AllNLI	"Combination of SNLI + MultiNLI
Triplets: (Anchor, Entailment_Text, Contradiction_Text)"	277,230	56.57	https://public.ukp.informatik.tu-darmstadt.de/reimers/sentence-transformers/datasets/paraphrases/AllNLI.jsonl.gz	"https://nlp.stanford.edu/projects/snli/
https://cims.nyu.edu/~sbowman/multinli/"
specter_train_triples	Triplets (Title, related_title, hard_negative) for Scientific Publications from Specter	684,100	56.32	https://public.ukp.informatik.tu-darmstadt.de/reimers/sentence-transformers/datasets/paraphrases/specter_train_triples.jsonl.gz	https://arxiv.org/abs/2004.07180
SimpleWiki	Matched pairs (English_Wikipedia, Simple_English_Wikipedia)	102,225	56.15	https://public.ukp.informatik.tu-darmstadt.de/reimers/sentence-transformers/datasets/paraphrases/SimpleWiki.jsonl.gz	https://cs.pomona.edu/~dkauchak/simplification/
PAQ_pairs	Training pairs (query, answer_passage) from the PAQ dataset	64,371,441	56.11	https://public.ukp.informatik.tu-darmstadt.de/reimers/sentence-transformers/datasets/paraphrases/PAQ_pairs.jsonl.gz	https://github.com/facebookresearch/PAQ
altlex	Matched pairs (English_Wikipedia, Simple_English_Wikipedia)	112,696	55.95	https://public.ukp.informatik.tu-darmstadt.de/reimers/sentence-transformers/datasets/paraphrases/altlex.jsonl.gz	https://github.com/chridey/altlex/
CodeSearchNet	CodeSearchNet corpus is a dataset of 2 milllion (comment, code) pairs from opensource libraries hosted on GitHub. It contains code and documentation for several programming languages.	1,151,414	55.80	https://public.ukp.informatik.tu-darmstadt.de/reimers/sentence-transformers/datasets/paraphrases/codesearchnet.jsonl.gz	https://huggingface.co/datasets/code_search_net
sentence-compression	Pairs (long_text, short_text) about sentence-compression	180,000	55.63	https://public.ukp.informatik.tu-darmstadt.de/reimers/sentence-transformers/datasets/paraphrases/sentence-compression.jsonl.gz	https://github.com/google-research-datasets/sentence-compression
TriviaQA_pairs	Pairs (query, answer) from TriviaQA dataset	73,346	55.56	https://public.ukp.informatik.tu-darmstadt.de/reimers/sentence-transformers/datasets/paraphrases/TriviaQA_pairs.jsonl.gz	https://huggingface.co/datasets/trivia_qa
flickr30k_captions	Image caption pairs for the same image from Flickr30k dataset	317,695	54.68	https://public.ukp.informatik.tu-darmstadt.de/reimers/sentence-transformers/datasets/paraphrases/flickr30k_captions.jsonl.gz	https://shannon.cs.illinois.edu/DenotationGraph/
coco_captions	Image caption pairs for the same image from COCO dataset	828,395	53.77	https://public.ukp.informatik.tu-darmstadt.de/reimers/sentence-transformers/datasets/paraphrases/coco_captions.jsonl.gz	http://cocodataset.org/
fever_train	Training data from the FEVER corpus	139,051	52.63	https://public.ukp.informatik.tu-darmstadt.de/reimers/sentence-transformers/datasets/paraphrases/fever_train.jsonl.gz	https://arxiv.org/abs/1803.05355